# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cycles:P'
# Event count (approx.): 11907981544
#
# Overhead  Command        Shared Object               Symbol                               
# ........  .............  ..........................  .....................................
#
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073337
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735b7
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000733ef
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000731aa
     0.01%  my_executable  [kernel.vmlinux]            [k] perf_iterate_ctx
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735a8
     0.01%  my_executable  [kernel.vmlinux]            [k] __memcg_slab_free_hook
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d86
     0.01%  my_executable  [kernel.vmlinux]            [k] filemap_get_entry
     0.01%  my_executable  [kernel.vmlinux]            [k] unmap_region
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073caa
     0.01%  my_executable  [kernel.vmlinux]            [k] __mod_memcg_state
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735e3
     0.01%  my_executable  [kernel.vmlinux]            [k] perf_event_alloc
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000733a6
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c35
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c76
     0.01%  my_executable  [kernel.vmlinux]            [k] folio_add_new_anon_rmap
     0.01%  my_executable  [kernel.vmlinux]            [k] seq_printf
     0.01%  my_executable  [kernel.vmlinux]            [k] number
     0.01%  my_executable  [kernel.vmlinux]            [k] path_openat
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073be4
     0.01%  my_executable  [kernel.vmlinux]            [k] __virt_addr_valid
     0.01%  my_executable  [kernel.vmlinux]            [k] strncpy_from_user
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000731da
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073322
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073285
