# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles:P'
# Event count (approx.): 22261993218
#
# Overhead  Command        Shared Object               Symbol                                                   
# ........  .............  ..........................  .........................................................
#
     0.02%  my_executable  [kernel.vmlinux]            [k] __count_memcg_events
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007391b
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c54
     0.01%  my_executable  libc.so.6                   [.] 0x0000000000097fd7
     0.01%  my_executable  [kernel.vmlinux]            [k] can_change_pte_writable
     0.01%  my_executable  [kernel.vmlinux]            [k] task_numa_fault
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073916
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073ba8
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000730b8
     0.01%  my_executable  [kernel.vmlinux]            [k] __d_lookup
     0.01%  my_executable  [kernel.vmlinux]            [k] syscall_return_via_sysret
     0.01%  my_executable  [kernel.vmlinux]            [k] __mod_node_page_state
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073df2
     0.01%  my_executable  [kernel.vmlinux]            [k] do_anonymous_page
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073cca
     0.01%  my_executable  [kernel.vmlinux]            [k] release_pages
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bf3
     0.01%  my_executable  [kernel.vmlinux]            [k] __x86_indirect_thunk_array
     0.01%  my_executable  [kernel.vmlinux]            [k] show_cpuinfo
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c50
     0.01%  my_executable  [kernel.vmlinux]            [k] migrate_pages_batch
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bd6
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073337
     0.01%  my_executable  [kernel.vmlinux]            [k] __ptep_modify_prot_start
     0.01%  my_executable  [kernel.vmlinux]            [k] __mod_lruvec_state
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073285
