# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles:P'
# Event count (approx.): 24166965387
#
# Overhead  Command        Shared Object               Symbol                                         
# ........  .............  ..........................  ...............................................
#
     0.00%  my_executable  libc.so.6                   [.] 0x000000000009a29b
     0.00%  my_executable  [kernel.vmlinux]            [k] __do_sys_brk
     0.00%  my_executable  [kernel.vmlinux]            [k] cpuacct_charge
     0.00%  my_executable  libc.so.6                   [.] 0x000000000015983b
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000099933
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000006a8f
     0.00%  my_executable  libc.so.6                   [.] 0x000000000009a29f
     0.00%  my_executable  libfabric.so.1.24.0         [.] fi_getinfo
     0.00%  my_executable  [kernel.vmlinux]            [k] inet_dump_ifaddr
     0.00%  my_executable  libc.so.6                   [.] 0x000000000015b0d1
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000159d70
     0.00%  my_executable  [kernel.vmlinux]            [k] _copy_to_user
     0.00%  my_executable  [kernel.vmlinux]            [k] filp_flush
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x00000000000161f5
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000014e1f
     0.00%  my_executable  libudev.so.1.7.8            [.] 0x0000000000015ef9
     0.00%  my_executable  [kernel.vmlinux]            [k] do_filp_open
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073463
     0.00%  my_executable  [kernel.vmlinux]            [k] mas_pop_node
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073c72
     0.00%  my_executable  [nfsv4]                     [k] 0x0000000000025470
     0.00%  my_executable  [kernel.vmlinux]            [k] kernfs_seq_show
     0.00%  my_executable  [kernel.vmlinux]            [k] lookup_fast
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000731f7
     0.00%  my_executable  [kernel.vmlinux]            [k] tcp_fastopen_active_disable_ofo_check
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000097da5
     0.00%  my_executable  libopen-pal.so.80.0.2       [.] opal_class_initialize
     0.00%  my_executable  [kernel.vmlinux]            [k] lockref_get_not_dead
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000733b3
     0.00%  my_executable  [kernel.vmlinux]            [k] kernfs_fop_release
     0.00%  my_executable  [kernel.vmlinux]            [k] __x86_indirect_thunk_r8
     0.00%  my_executable  libc.so.6                   [.] __sprintf_chk
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000734db
     0.00%  my_executable  libopen-pal.so.80.0.2       [.] 0x000000000003702a
     0.00%  my_executable  [kernel.vmlinux]            [k] native_apic_msr_write
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000088216
     0.00%  my_executable  libc.so.6                   [.] 0x0000000000087810
