# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 34K of event 'cycles:P'
# Event count (approx.): 19700811021
#
# Overhead  Command        Shared Object           Symbol                                      
# ........  .............  ......................  ............................................
#
     0.01%  my_executable  [kernel.vmlinux]        [k] irq_enter_rcu
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c19
     0.01%  my_executable  [kernel.vmlinux]        [k] rmap_walk_anon
     0.01%  my_executable  libm.so.6               [.] 0x000000000007339e
     0.01%  my_executable  [kernel.vmlinux]        [k] do_syscall_64
     0.01%  my_executable  [kernel.vmlinux]        [k] rcu_segcblist_ready_cbs
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073330
     0.01%  my_executable  [kernel.vmlinux]        [k] get_vma_policy
     0.01%  my_executable  [kernel.vmlinux]        [k] hrtimer_update_next_event
     0.01%  my_executable  libc.so.6               [.] cfree
     0.01%  my_executable  [kernel.vmlinux]        [k] ktime_get
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d9c
     0.01%  my_executable  [kernel.vmlinux]        [k] irqentry_exit_to_user_mode
     0.01%  my_executable  [kernel.vmlinux]        [k] psi_group_change
     0.01%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000028f3
     0.01%  my_executable  libpciaccess.so.0.11.1  [.] 0x000000000000293a
     0.01%  my_executable  libstencil.so           [.] mesh_new
     0.01%  my_executable  [kernel.vmlinux]        [k] vma_alloc_folio
     0.01%  my_executable  [kernel.vmlinux]        [k] mem_cgroup_commit_charge
     0.01%  my_executable  [kernel.vmlinux]        [k] native_sched_clock
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d98
     0.01%  my_executable  [kernel.vmlinux]        [k] __pte_offset_map_lock
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735c4
     0.01%  my_executable  [kernel.vmlinux]        [k] __memcg_slab_free_hook
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735b3
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730c6
     0.01%  my_executable  [kernel.vmlinux]        [k] __fdget_pos
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073568
     0.01%  my_executable  [kernel.vmlinux]        [k] dequeue_task_fair
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073374
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c50
     0.01%  my_executable  libpciaccess.so.0.11.1  [.] 0x0000000000002765
     0.01%  my_executable  [kernel.vmlinux]        [k] d_same_name
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073285
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073370
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c60
     0.00%  my_executable  [kernel.vmlinux]        [k] try_to_unlazy
     0.00%  my_executable  [kernel.vmlinux]        [k] build_open_flags
     0.00%  my_executable  [kernel.vmlinux]        [k] kernfs_refresh_inode
     0.00%  my_executable  [kernel.vmlinux]        [k] down_read
     0.00%  my_executable  [kernel.vmlinux]        [k] x86_reserve_hardware
     0.00%  my_executable  [kernel.vmlinux]        [k] kernfs_iop_permission
     0.00%  my_executable  [kernel.vmlinux]        [k] update_rq_clock
     0.00%  my_executable  [kernel.vmlinux]        [k] sysfs_kf_seq_show
     0.00%  my_executable  [kernel.vmlinux]        [k] dput
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x0000000000002746
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000025ed
     0.00%  my_executable  libc.so.6               [.] 0x00000000001568a4
     0.00%  my_executable  libc.so.6               [.] 0x000000000004d179
