# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cycles:P'
# Event count (approx.): 18233692210
#
# Overhead  Command        Shared Object              Symbol                               
# ........  .............  .........................  .....................................
#
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073d98
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c6a
     0.01%  my_executable  [kernel.vmlinux]           [k] kernfs_iop_permission
     0.01%  my_executable  [kernel.vmlinux]           [k] irq_enter_rcu
     0.01%  my_executable  [kernel.vmlinux]           [k] _compound_head
     0.01%  my_executable  [kernel.vmlinux]           [k] __calc_delta.constprop.0
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000735b3
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000733a6
     0.01%  my_executable  [kernel.vmlinux]           [k] native_flush_tlb_one_user
     0.01%  my_executable  [kernel.vmlinux]           [k] account_user_time
     0.01%  my_executable  [kernel.vmlinux]           [k] bpf_lsm_inode_permission
     0.01%  my_executable  [kernel.vmlinux]           [k] lock_vma_under_rcu
     0.01%  my_executable  [kernel.vmlinux]           [k] native_read_msr
     0.01%  my_executable  [kernel.vmlinux]           [k] get_vma_policy
     0.01%  my_executable  [kernel.vmlinux]           [k] asm_exc_page_fault
     0.01%  my_executable  [kernel.vmlinux]           [k] next_uptodate_folio
     0.01%  my_executable  [kernel.vmlinux]           [k] read_tsc
     0.01%  my_executable  libopen-pal.so.80.0.2      [.] opal_hash_table_get_value_ptr
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073564
     0.01%  my_executable  libpciaccess.so.0.11.1     [.] 0x00000000000025a3
     0.01%  my_executable  libpciaccess.so.0.11.1     [.] 0x000000000000293a
     0.01%  my_executable  libpciaccess.so.0.11.1     [.] 0x0000000000002765
     0.01%  my_executable  [kernel.vmlinux]           [k] kmalloc_trace
     0.01%  my_executable  [kernel.vmlinux]           [k] __snmp6_fill_stats64.constprop.0
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073374
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073d58
     0.01%  my_executable  libm.so.6                  [.] 0x000000000007329b
     0.01%  my_executable  libopen-pal.so.80.0.2      [.] opal_hash_table_set_value_ptr
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073be4
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073d86
     0.01%  my_executable  [kernel.vmlinux]           [k] kernfs_dop_revalidate
     0.01%  my_executable  [kernel.vmlinux]           [k] unmap_page_range
     0.01%  my_executable  [kernel.vmlinux]           [k] up_read
     0.01%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000e570
     0.01%  my_executable  libc.so.6                  [.] 0x0000000000087810
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000735c4
     0.01%  my_executable  [kernel.vmlinux]           [k] folio_add_new_anon_rmap
     0.01%  my_executable  [kernel.vmlinux]           [k] lru_add_fn
     0.01%  my_executable  [kernel.vmlinux]           [k] policy_nodemask
     0.01%  my_executable  [kernel.vmlinux]           [k] get_mem_cgroup_from_mm
     0.01%  my_executable  [kernel.vmlinux]           [k] __count_memcg_events
     0.01%  my_executable  libm.so.6                  [.] 0x000000000007331a
     0.01%  my_executable  [kernel.vmlinux]           [k] update_curr
     0.01%  my_executable  [kernel.vmlinux]           [k] lru_gen_del_folio.constprop.0
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c35
     0.01%  my_executable  [kernel.vmlinux]           [k] htab_map_hash
     0.01%  my_executable  libhwloc.so.15.7.0         [.] 0x0000000000037537
     0.01%  my_executable  [kernel.vmlinux]           [k] __tlb_remove_page_size
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073cca
     0.01%  my_executable  [kernel.vmlinux]           [k] kmem_cache_alloc
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c63
     0.01%  my_executable  [kernel.vmlinux]           [k] lockref_put_return
     0.01%  my_executable  [kernel.vmlinux]           [k] ksys_read
     0.01%  my_executable  [kernel.vmlinux]           [k] obj_cgroup_charge
     0.01%  my_executable  [kernel.vmlinux]           [k] mod_objcg_state
     0.01%  my_executable  [kernel.vmlinux]           [k] __check_heap_object
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c3d
     0.01%  my_executable  [kernel.vmlinux]           [k] strlen
     0.01%  my_executable  [kernel.vmlinux]           [k] folio_remove_rmap_ptes
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073cd8
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073bf3
     0.01%  my_executable  [kernel.vmlinux]           [k] __x86_indirect_thunk_array
     0.01%  my_executable  [kernel.vmlinux]           [k] perf_iterate_ctx
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073444
     0.01%  my_executable  [kernel.vmlinux]           [k] dequeue_entity
     0.00%  my_executable  [kernel.vmlinux]           [k] pci_read_config
     0.00%  my_executable  [kernel.vmlinux]           [k] reweight_entity
     0.00%  my_executable  [kernel.vmlinux]           [k] __hrtimer_next_event_base
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073607
     0.00%  my_executable  libmpi.so.40.40.2          [.] mca_coll_base_comm_unselect
     0.00%  my_executable  libc.so.6                  [.] 0x00000000000993b5
     0.00%  my_executable  [kernel.vmlinux]           [k] can_change_pte_writable
     0.00%  my_executable  [kernel.vmlinux]           [k] record_times
     0.00%  my_executable  [kernel.vmlinux]           [k] __x86_indirect_thunk_r14
     0.00%  my_executable  [kernel.vmlinux]           [k] arch_scale_freq_tick
     0.00%  my_executable  [kernel.vmlinux]           [k] irqentry_enter_from_user_mode
     0.00%  my_executable  libgomp.so.1.0.0           [.] gomp_iter_ull_dynamic_next
     0.00%  my_executable  libstencil.so              [.] mesh_drop
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000098fb0
     0.00%  my_executable  [kernel.vmlinux]           [k] update_process_times
     0.00%  my_executable  [kernel.vmlinux]           [k] native_apic_msr_eoi
     0.00%  my_executable  [kernel.vmlinux]           [k] security_file_permission
     0.00%  my_executable  [kernel.vmlinux]           [k] vfs_write
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000098fc9
     0.00%  my_executable  [kernel.vmlinux]           [k] tcp_ack
     0.00%  my_executable  [kernel.vmlinux]           [k] tick_sched_do_timer
     0.00%  my_executable  [kernel.vmlinux]           [k] sched_clock
     0.00%  my_executable  [kernel.vmlinux]           [k] napi_complete_done
     0.00%  my_executable  [kernel.vmlinux]           [k] walk_component
     0.00%  my_executable  libc.so.6                  [.] read
     0.00%  my_executable  [kernel.vmlinux]           [k] dput
     0.00%  my_executable  [kernel.vmlinux]           [k] free_pcppages_bulk
